AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,DISPLAY_CITY_MARKET_NAME_FULL,LATITUDE,LONGITUDE,Unnamed: 9
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",United States,Alaska,"Johnstone Point, AK",60.48166667,-146.58416667,
10023,TLK,Tikchik Lodge Airport,"Tikchik Lodge, AK",United States,Alaska,"Tikchik Lodge, AK",59.95555556,-158.48055556,
10023,KTH,Tikchik Lodge Airport,"Tikchik Lodge, AK",United States,Alaska,"Tikchik Lodge, AK",59.95555556,-158.48055556,
10024,A11,Bell Creek Airport,"Bell Creek, AK",United States,Alaska,"Bell Creek, AK",60.78388889,-159.54027778,
10025,A12,Cinnabar Airport,"Cinnabar, AK",United States,Alaska,"Cinnabar, AK",60.78527778,-158.86444444,
10026,A13,Mountaintop Mine Airport,"Mountaintop Mine, AK",United States,Alaska,"Mountaintop Mine, AK",61.39027778,-157.99555556,
10027,A14,Whitebear Airport,"Whitebear, AK",United States,Alaska,"Whitebear, AK",61.18888889,-159.85833333,
10028,A15,Puviaq Airport,"Puviaq, AK",United States,Alaska,"Puviaq, AK",70.71861111,-154.38833333,
10028,A15,Puviaq Airport,"Puviaq, AK",United States,Alaska,"Puviaq, AK",70.71555556,-154.40694444,
10029,A16,Arley Lake Airport,"Arley Lake, AK",United States,Alaska,"Arley Lake, AK",70.74694444,-155.36083333,
10030,A17,Port Vita Airport,"Port Vita, AK",United States,Alaska,"Port Vita, AK",58.06555556,-153.0725,
10031,A18,Kantishna Airport,"Kantishna, AK",United States,Alaska,"Kantishna, AK",63.54166667,-150.99388889,
10031,A18,Kantishna Airport,"Kantishna, AK",United States,Alaska,"Kantishna, AK",63.54111111,-150.995,
10031,A18,Kantishna Airport,"Kantishna, AK",United States,Alaska,"Kantishna, AK",63.54166667,-150.99388889,
10031,A18,Kantishna Airport,"Kantishna, AK",United States,Alaska,"Kantishna, AK",63.54111111,-150.995,
10033,A20,Alpine Airstrip,"Alpine, AK",United States,Alaska,"Alpine, AK",70.34416667,-150.94472222,
10034,A21,Serpentine Airport,"Serpentine, AK",United States,Alaska,"Serpentine, AK",65.85138889,-164.70277778,
10035,A22,Driftwood Bay Airport,"Driftwood Bay, AK",United States,Alaska,"Driftwood Bay, AK",53.97277778,-166.85694444,
10036,A23,Bradley Lake Airport,"Bradley Lake, AK",United States,Alaska,"Bradley Lake, AK",59.77611111,-151.96361111,
10037,A24,Chilkat Lake Airport,"Chilkat Lake, AK",United States,Alaska,"Chilkat Lake, AK",59.33166667,-135.89666667,
10038,A25,Nugget Creek Airport,"Nugget Creek, AK",United States,Alaska,"Nugget Creek, AK",59.28833333,-136.17388889,
10039,A26,Ivotuk Airstrip,"Ivotuk, AK",United States,Alaska,"Ivotuk, AK",68.48333333,-155.73333333,
10040,A27,Pogo Mines Airport,"Pogo Mines, AK",United States,Alaska,"Pogo Mines, AK",64.44,-144.93638889,
10041,A28,Ayakulik River Airport,"Ayakulik River, AK",United States,Alaska,"Ayakulik River, AK",57.25388889,-154.42222222,
10042,A29,Kiluda Bay Airport,"Kiluda Bay, AK",United States,Alaska,"Kiluda Bay, AK",57.32305556,-153.14944444,
10043,A30,Terror Lake Airport,"Terror Lake, AK",United States,Alaska,"Terror Lake, AK",57.96388889,-153.05833333,
10044,A31,Selief Bay Airport,"Selief Bay, AK",United States,Alaska,"Selief Bay, AK",58.98277778,-153.18333333,
10047,A34,Laura Lake Airport,"Laura Lake, AK",United States,Alaska,"Laura Lake, AK",58.36194444,-152.31222222,
10049,A36,Deep Bay Airport,"Deep Bay, AK",United States,Alaska,"Deep Bay, AK",55.56027778,-131.65555556,
10050,A37,Kako Airport,"Kako, AK",United States,Alaska,"Kako, AK",61.89888889,-161.43805556,
10050,A37,Kako Airport,"Kako, AK",United States,Alaska,"Kako, AK",61.89888889,-161.43972222,
10051,A38,Molly Creek Airport,"Molly Creek, AK",United States,Alaska,"Molly Creek, AK",64.09722222,-143.26666667,
10052,A39,Ptarmigan Lake Airport,"Ptarmigan Lake, AK",United States,Alaska,"Ptarmigan Lake, AK",61.86611111,-141.15972222,
10053,A40,Cape Simpson Airport,"Cape Simpson, AK",United States,Alaska,"Cape Simpson, AK",71.05694444,-154.72833333,
10054,A41,Kogru River Airport,"Kogru River, AK",United States,Alaska,"Kogru River, AK",70.57611111,-152.27111111,
10054,A41,Kogru River Airport,"Kogru River, AK",United States,Alaska,"Kogru River, AK",70.57472222,-152.25888889,
10055,A42,Teshepkuk Lake Airport,"Teshepkuk Lake, AK",United States,Alaska,"Teshepkuk Lake, AK",70.35833333,-153.19666667,
10056,A43,Trident Basin Seaplane Base,"Kodiak Island, AK",United States,Alaska,"Kodiak Island, AK",57.78083333,-152.39111111,
10058,A45,Lake Florence Airport,"Lake Florence, AK",United States,Alaska,"Lake Florence, AK",57.81666667,-134.58333333,
10059,A46,Lake Hasselborg Airport,"Lake Hasselborg, AK",United States,Alaska,"Lake Hasselborg, AK",57.7,-134.26666667,
10060,A47,Distin Lake Airport,"Distin Lake, AK",United States,Alaska,"Distin Lake, AK",57.61666667,-134.36666667,
10061,A48,Port Hobron Airport,"Port Hobron, AK",United States,Alaska,"Port Hobron, AK",57.15,-153.15,
10062,A49,Mooseville Airstrip Airport,"Mooseville Airstrip, AK",United States,Alaska,"Mooseville Airstrip, AK",70.28444444,-152.21194444,
10063,A50,Big Bay Airport,"Big Bay, AK",United States,Alaska,"Big Bay, AK",58.5625,-152.59611111,
10064,A51,Wien Lake Airport,"Wien Lake, AK",United States,Alaska,"Wien Lake, AK",64.35277778,-151.275,
10065,A52,Silver Salmon Creek Airport,"Silver Salmon Creek, AK",United States,Alaska,"Silver Salmon Creek, AK",59.96388889,-152.68222222,
10066,A53,Blear Lake Airport,"Blear Lake, AK",United States,Alaska,"Blear Lake, AK",64.33333333,-147.5,
10067,A54,Cannery Bay Airport,"Cannery Bay, AK",United States,Alaska,"Cannery Bay, AK",53.68333333,-166.75,
10069,A56,Johnsons Landing,"Bear Lake, AK",United States,Alaska,"Bear Lake, AK",56.03666667,-160.26611111,
10070,VZK,International Seafoods Airport,"International Seafoods, AK",United States,Alaska,"International Seafoods, AK",58.26666667,-157.53333333,
10070,A57,International Seafoods Airport,"International Seafoods, AK",United States,Alaska,"International Seafoods, AK",58.26666667,-157.53333333,
10071,A58,Cosna River Airport,"Cosna River, AK",United States,Alaska,"Cosna River, AK",64.5,-151.66666667,
10072,A59,Ivatuk Airport,"Ivatuk, AK",United States,Alaska,"Ivatuk, AK",68.48777778,-155.7575,
10074,A61,Cape Sarichef AFS,"Cape Sarichef, AK",United States,Alaska,"Cape Sarichef, AK",54.58333333,-164.9125,
10074,A61,Cape Sarichef Airport,"Cape Sarichef, AK",United States,Alaska,"Cape Sarichef, AK",54.5825,-164.91444444,
10075,A62,Taylor Mountain,"Taylor Mountain Mine, AK",United States,Alaska,"Taylor Mountain Mine, AK",60.86777778,-157.39194444,
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",United States,Alaska,"Yukon Charley Rivvers, AK",65.31111111,-143.13527778,
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",United States,Alaska,"Yukon Charley Rivvers, AK",65.31138889,-143.13555556,
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",United States,Alaska,"Yukon Charley Rivvers, AK",65.31166667,-143.13416667,
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",United States,Alaska,"Yukon Charley Rivvers, AK",65.31138889,-143.13555556,
10076,A63,Coal Creek,"Yukon Charley Rivvers, AK",United States,Alaska,"Yukon Charley Rivvers, AK",65.31166667,-143.13416667,
10078,A65,Karluk Portage Airport,"Karluk Portage, AK",United States,Alaska,"Karluk Portage, AK",57.53833333,-154.16444444,
10079,A66,Hope Airport,"Hope, AK",United States,Alaska,"Hope, AK",60.90555556,-149.62388889,
10079,A66,Hope Airport,"Hope, AK",United States,Alaska,"Hope, AK",60.90416667,-149.62388889,
10079,A66,Hope Airport,"Hope, AK",United States,Alaska,"Hope, AK",60.90722222,-149.62277778,
10079,A66,Hope Airport,"Hope, AK",United States,Alaska,"Hope, AK",60.90416667,-149.62388889,
10079,A66,Hope Airport,"Hope, AK",United States,Alaska,"Hope, AK",60.90722222,-149.62277778,
10080,A67,Viekoda Bay Airport,"Viekoda Bay, AK",United States,Alaska,"Viekoda Bay, AK",57.84944444,-153.11527778,
10082,A69,Cathedral Strip,"Cold Bay, AK",United States,Alaska,"Cold Bay, AK",55.74,-162.12527778,
10083,A70,Village Islands Airport,"Village Islands, AK",United States,Alaska,"Village Islands, AK",57.77416667,-153.54472222,
10084,A71,Bear Cove Farm,"Homer, AK",United States,Alaska,"Homer, AK",59.73833333,-151.03,
10085,A72,Chinitna Bay Airport,"Chinitna Bay, AK",United States,Alaska,"Chinitna Bay, AK",59.83333333,-152.58472222,
10086,A73,McKinley National Park,"McKinley Park, AK",United States,Alaska,"McKinley Park, AK",63.7325,-148.91055556,
10087,A74,Dog Fish Bay,"Nanwalek, AK",United States,Alaska,"Nanwalek, AK",59.24111111,-151.87722222,
10088,A75,Malina Bay Airport,"Malina Bay, AK",United States,Alaska,"Malina Bay, AK",58.17194444,-152.89416667,
10089,A76,Red Fox Bay Airport,"Red Fox Bay, AK",United States,Alaska,"Red Fox Bay, AK",58.46444444,-152.59305556,
10090,A77,Shearwater Airport,"Shearwater, AK",United States,Alaska,"Shearwater, AK",57.34333333,-152.89722222,
10091,A78,Lake,"Cape Simpson, AK",United States,Alaska,"Cape Simpson, AK",71.03,-154.44361111,
10092,A79,Cape Simpson No. 1,"Cape Simpson, AK",United States,Alaska,"Cape Simpson, AK",71.50166667,-154.03388889,
10093,A80,Cape Simpson No. 7,"Cape Simpson, AK",United States,Alaska,"Cape Simpson, AK",70.57388889,-155.32138889,
10094,A81,Cape Simpson #1,"Aglaq, AK",United States,Alaska,"Aglaq, AK",70.66277778,-154.83666667,
10095,A82,Nikiski Private Airstrip,"Nikiski, AK",United States,Alaska,"Nikiski, AK",60.69027778,-151.28888889,
10096,A83,Petrof Point Airport,"Petrof Point, AK",United States,Alaska,"Petrof Point, AK",59.37638889,-150.765,
10097,A84,Denali West Lodge Private,"Denali, AK",United States,Alaska,"Denali, AK",63.75555556,-147.93,
10098,A85,Big River Airport,"Big River, AK",United States,Alaska,"Big River, AK",61.85944444,-154.27666667,
10100,A87,Carry Inlet Airport,"Carry Inlet, AK",United States,Alaska,"Carry Inlet, AK",58.58305556,-152.44583333,
10102,A89,Montague Island Airport,"Montague Island, AK",United States,Alaska,"Montague Island, AK",59.925,-147.51666667,
10103,A90,Shannon Pond Airport,"Shannon Pond, AK",United States,Alaska,"Shannon Pond, AK",59.03916667,-158.46388889,
10104,A91,Omalik Lagoon Airport,"Omalik Lagoon, AK",United States,Alaska,"Omalik Lagoon, AK",69.15555556,-163.49722222,
10105,A92,Omolik Lagoon Airport,"Omolik Lagoon, AK",United States,Alaska,"Omolik Lagoon, AK",69.14805556,-163.51027778,
10106,A93,Bradley Lake Project Airport,"Bradley Lake Project, AK",United States,Alaska,"Bradley Lake Project, AK",59.79166667,-151.26666667,
10107,A94,Ice Strip,"Barrow, AK",United States,Alaska,"Barrow, AK",70.57416667,-155.31805556,
10108,A95,Ice Strip,"Barrow, AK",United States,Alaska,"Barrow, AK",70.31194444,-153.24916667,
10109,A96,Ice Strip,"Barrow, AK",United States,Alaska,"Barrow, AK",70.98083333,-157.095,
10110,A97,Akulik Air Strip,"Akulik, AK",United States,Alaska,"Akulik, AK",68.98555556,-163.47972222,
10111,A98,Deadfall Air Strip,"Deadfall, AK",United States,Alaska,"Deadfall, AK",69.17083333,-163.25638889,
10112,A99,Eagle Creek Airport,"Eagle Creek, AK",United States,Alaska,"Eagle Creek, AK",68.67666667,-162.64694444,
10113,AA1,Ice Kong,"Bethel, AK",United States,Alaska,"Bethel, AK",59.95277778,-162.61694444,
10116,AA4,Glacier Split,"Kachemak Bay, AK",United States,Alaska,"Kachemak Bay, AK",59.63333333,-151.20833333,
10117,AA5,Selby Lake Airport,"Selby Lake, AK",United States,Alaska,"Selby Lake, AK",66.95583333,-155.615,
10122,AAF,Apalachicola Regional,"Apalachicola, FL",United States,Florida,"Apalachicola, FL",29.7275,-85.0275,
10122,AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",United States,Florida,"Apalachicola, FL",29.7275,-85.0275,
10122,AAF,Apalachicola Regional,"Apalachicola, FL",United States,Florida,"Apalachicola, FL",29.7275,-85.0275,
10122,AAF,Apalachicola Regional Cleve Randolph Field,"Apalachicola, FL",United States,Florida,"Apalachicola, FL",29.7275,-85.0275,
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"Allentown/Bethlehem/Easton, PA",40.65472222,-75.43833333,
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"Allentown/Bethlehem/Easton, PA",40.65222222,-75.44027778,
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"Allentown/Bethlehem/Easton, PA",40.65222222,-75.44055556,
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"Allentown/Bethlehem/Easton, PA",40.65222222,-75.44027778,
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"Allentown/Bethlehem/Easton, PA",40.65222222,-75.44055556,
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",United States,Pennsylvania,"Allentown/Bethlehem/Easton, PA",40.6525,-75.44027778,
10136,ABI,Abilene Regional,"Abilene, TX",United States,Texas,"Abilene, TX",32.40944444,-99.67972222,
10136,ABI,Abilene Regional,"Abilene, TX",United States,Texas,"Abilene, TX",32.41111111,-99.68166667,
10136,ABI,Abilene Regional,"Abilene, TX",United States,Texas,"Abilene, TX",32.41138889,-99.68194444,
10139,ABL,Ambler River,"Ambler, AK",United States,Alaska,"Ambler, AK",67.0875,-157.84583333,
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",United States,New Mexico,"Albuquerque, NM",35.04166667,-106.60638889,
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",United States,New Mexico,"Albuquerque, NM",35.04027778,-106.60916667,
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",United States,New Mexico,"Albuquerque, NM",35.03888889,-106.60833333,
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",United States,New Mexico,"Albuquerque, NM",35.04027778,-106.60916667,
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",United States,New Mexico,"Albuquerque, NM",35.03888889,-106.60833333,
10141,ABR,Aberdeen Regional,"Aberdeen, SD",United States,South Dakota,"Aberdeen, SD",45.44972222,-98.42166667,
10141,ABR,Aberdeen Regional,"Aberdeen, SD",United States,South Dakota,"Aberdeen, SD",45.44916667,-98.42194444,
10141,ABR,Aberdeen Regional,"Aberdeen, SD",United States,South Dakota,"Aberdeen, SD",45.44833333,-98.4225,
10141,ABR,Aberdeen Regional,"Aberdeen, SD",United States,South Dakota,"Aberdeen, SD",45.44666667,-98.4225,
10141,ABR,Aberdeen Regional,"Aberdeen, SD",United States,South Dakota,"Aberdeen, SD",45.44916667,-98.42194444,
10141,ABR,Aberdeen Regional,"Aberdeen, SD",United States,South Dakota,"Aberdeen, SD",45.44666667,-98.4225,
10146,ABY,Southwest Georgia Regional,"Albany, GA",United States,Georgia,"Albany, GA",31.53222222,-84.19611111,
10146,ABY,Southwest Georgia Regional,"Albany, GA",United States,Georgia,"Albany, GA",31.53555556,-84.19444444,
10149,ACB,Antrim County,"Bellaire, MI",United States,Michigan,"Bellaire, MI",44.98472222,-85.19916667,
10149,ACB,Antrim County,"Bellaire, MI",United States,Michigan,"Bellaire, MI",44.98861111,-85.19833333,
10154,ACK,Nantucket Memorial,"Nantucket, MA",United States,Massachusetts,"Nantucket, MA",41.25666667,-70.05972222,
10154,ACK,Nantucket Memorial,"Nantucket, MA",United States,Massachusetts,"Nantucket, MA",41.25305556,-70.06027778,
10154,ACK,Nantucket Memorial,"Nantucket, MA",United States,Massachusetts,"Nantucket, MA",41.25305556,-70.06,
10154,ACK,Nantucket Memorial,"Nantucket, MA",United States,Massachusetts,"Nantucket, MA",41.25305556,-70.06027778,
10154,ACK,Nantucket Memorial,"Nantucket, MA",United States,Massachusetts,"Nantucket, MA",41.25305556,-70.06,
10155,ACT,Waco Regional,"Waco, TX",United States,Texas,"Waco, TX",31.61138889,-97.22861111,
10155,ACT,Waco Regional,"Waco, TX",United States,Texas,"Waco, TX",31.61222222,-97.23027778,
10157,ACV,Arcata,"Arcata/Eureka, CA",United States,California,"Eureka/Arcata, CA",40.97916667,-124.1075,
10157,ACV,Arcata,"Arcata/Eureka, CA",United States,California,"Eureka/Arcata, CA",40.97805556,-124.10861111,
10157,ACV,Arcata,"Arcata/Eureka, CA",United States,California,"Eureka/Arcata, CA",40.97777778,-124.10833333,
10157,ACV,California Redwood Coast Humboldt County,"Arcata/Eureka, CA",United States,California,"Eureka/Arcata, CA",40.97777778,-124.10833333,
10157,ACV,Arcata,"Arcata/Eureka, CA",United States,California,"Eureka/Arcata, CA",40.97805556,-124.10861111,
10157,ACV,California Redwood Coast Humboldt County,"Arcata/Eureka, CA",United States,California,"Eureka/Arcata, CA",40.97777778,-124.10833333,
10158,ACY,Nafec Atlantic City,"Atlantic City, NJ",United States,New Jersey,"Atlantic City, NJ",39.45611111,-74.57805556,
10158,ACY,Nafec Atl,"Atlantic City, NJ",United States,New Jersey,"Atlantic City, NJ",39.45666667,-74.57777778,
10158,ACY,Atlantic City International,"Atlantic City, NJ",United States,New Jersey,"Atlantic City, NJ",39.4575,-74.57805556,
10158,ACY,Atlantic City International,"Atlantic City, NJ",United States,New Jersey,"Atlantic City, NJ",39.4575,-74.57722222,
10165,ADK,Adak NS,"Adak Island, AK",United States,Alaska,"Adak Island, AK",51.88277778,-176.64472222,
10165,ADK,Adak,"Adak Island, AK",United States,Alaska,"Adak Island, AK",51.87805556,-176.64611111,
10165,ADK,Adak,"Adak Island, AK",United States,Alaska,"Adak Island, AK",51.87805556,-176.64583333,
10165,ADK,Adak,"Adak Island, AK",United States,Alaska,"Adak Island, AK",51.88361111,-176.6425,
10165,ADK,Adak,"Adak Island, AK",United States,Alaska,"Adak Island, AK",51.87805556,-176.64611111,
10165,ADK,Adak,"Adak Island, AK",United States,Alaska,"Adak Island, AK",51.88361111,-176.6425,
10167,ADM,Ardmore Municipal,"Ardmore, OK",United States,Oklahoma,"Ardmore, OK",34.30305556,-97.01972222,
10167,ADM,Ardmore Municipal,"Ardmore, OK",United States,Oklahoma,"Ardmore, OK",34.30416667,-97.02055556,
10167,ADM,Ardmore Municipal,"Ardmore, OK",United States,Oklahoma,"Ardmore, OK",34.30388889,-97.02055556,
10167,ADM,Ardmore Municipal,"Ardmore, OK",United States,Oklahoma,"Ardmore, OK",34.30416667,-97.02055556,
10167,ADM,Ardmore Municipal,"Ardmore, OK",United States,Oklahoma,"Ardmore, OK",34.30388889,-97.02055556,
10170,ADQ,Kodiak Airport,"Kodiak, AK",United States,Alaska,"Kodiak, AK",57.75,-152.49388889,
10170,ADQ,Kodiak Airport,"Kodiak, AK",United States,Alaska,"Kodiak, AK",57.74972222,-152.49388889,
10170,ADQ,Kodiak Airport,"Kodiak, AK",United States,Alaska,"Kodiak, AK",57.75,-152.49388889,
10170,ADQ,Kodiak Airport,"Kodiak, AK",United States,Alaska,"Kodiak, AK",57.74972222,-152.49388889,
10171,ADS,Addison,"Dallas, TX",United States,Texas,"Dallas/Fort Worth, TX",32.96833333,-96.83611111,
10171,ADS,Addison,"Dallas, TX",United States,Texas,"Dallas/Fort Worth, TX",32.96861111,-96.83638889,
10172,ADW,Andrews AFB,"Camp Springs, MD",United States,Maryland,"Camp Springs, MD",38.81083333,-76.86722222,
10172,ADW,Andrews AFB,"Camp Springs, MD",United States,Maryland,"Camp Springs, MD",38.81083333,-76.86694444,
10172,ADW,Joint Base Andrews,"Camp Springs, MD",United States,Maryland,"Camp Springs, MD",38.81083333,-76.86694444,
10172,ADW,Andrews AFB,"Camp Springs, MD",United States,Maryland,"Camp Springs, MD",38.81083333,-76.86694444,
10172,ADW,Joint Base Andrews,"Camp Springs, MD",United States,Maryland,"Camp Springs, MD",38.81083333,-76.86694444,
10176,AED,Aleneva Airport,"Aleneva, AK",United States,Alaska,"Aleneva, AK",58.03333333,-152.9,
10184,AET,Allakaket Airport,"Allakaket, AK",United States,Alaska,"Allakaket, AK",66.56166667,-152.65833333,
10184,AET,Allakaket Airport,"Allakaket, AK",United States,Alaska,"Allakaket, AK",66.55194444,-152.62222222,
10185,AEX,England AFB,"Alexandria, LA",United States,Louisiana,"Alexandria, LA",31.32416667,-92.54694444,
10185,AEX,Alexandria International,"Alexandria, LA",United States,Louisiana,"Alexandria, LA",31.3275,-92.54861111,
10189,AFF,USAF Academy Airfield,"Colorado Springs, CO",United States,Colorado,"Colorado Springs, CO",38.96972222,-104.8125,
10189,AFF,USAF Academy Airfield,"Colorado Springs, CO",United States,Colorado,"Colorado Springs, CO",38.96972222,-104.81277778,
10189,AFF,USAF Academy Airfield,"Colorado Springs, CO",United States,Colorado,"Colorado Springs, CO",38.97416667,-104.81777778,
10189,AFF,USAF Academy Airfield,"Colorado Springs, CO",United States,Colorado,"Colorado Springs, CO",38.96972222,-104.81277778,
10189,AFF,USAF Academy Airfield,"Colorado Springs, CO",United States,Colorado,"Colorado Springs, CO",38.97416667,-104.81777778,
10190,AFK,Nebraska City Municipal,"Nebraska, NE",United States,Nebraska,"Nebraska, NE",40.60694444,-95.86583333,
10190,AFK,Nebraska City Municipal,"Nebraska, NE",United States,Nebraska,"Nebraska, NE",40.60555556,-95.86777778,
10190,AFK,Nebraska City Municipal,"Nebraska, NE",United States,Nebraska,"Nebraska, NE",40.60638889,-95.86666667,
10190,AFK,Nebraska City Municipal,"Nebraska, NE",United States,Nebraska,"Nebraska, NE",40.60666667,-95.86666667,
10190,AFK,Nebraska City Municipal,"Nebraska, NE",United States,Nebraska,"Nebraska, NE",40.60555556,-95.86777778,
10190,AFK,Nebraska City Municipal,"Nebraska, NE",United States,Nebraska,"Nebraska, NE",40.60666667,-95.86666667,
10191,AFO,Afton Municipal,"Afton, WY",United States,Wyoming,"Afton, WY",42.71666667,-110.93333333,
10191,AFO,Afton Municipal,"Afton, WY",United States,Wyoming,"Afton, WY",42.70888889,-110.94222222,
10192,AFP,Anson County,"Wadesboro, NC",United States,North Carolina,"Wadesboro, NC",35.02388889,-80.08138889,
10192,AFP,Anson County,"Wadesboro, NC",United States,North Carolina,"Wadesboro, NC",35.02055556,-80.07722222,
10192,AFP,Anson County Jeff Cloud Field,"Wadesboro, NC",United States,North Carolina,"Wadesboro, NC",35.02055556,-80.07722222,
10192,AFP,Anson County,"Wadesboro, NC",United States,North Carolina,"Wadesboro, NC",35.02055556,-80.07722222,
10192,AFP,Anson County Jeff Cloud Field,"Wadesboro, NC",United States,North Carolina,"Wadesboro, NC",35.02055556,-80.07722222,
10194,AFW,Fort Worth Alliance,"Dallas/Fort Worth, TX",United States,Texas,"Dallas/Fort Worth, TX",32.98666667,-97.3175,
10194,AFW,Fort Worth Alliance,"Dallas/Fort Worth, TX",United States,Texas,"Dallas/Fort Worth, TX",32.98777778,-97.31888889,
10194,AFW,Fort Worth Alliance,"Dallas/Fort Worth, TX",United States,Texas,"Dallas/Fort Worth, TX",32.9875,-97.31888889,
10194,AFW,Fort Worth Alliance,"Dallas/Fort Worth, TX",United States,Texas,"Dallas/Fort Worth, TX",32.98944444,-97.31944444,
